"GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"36047",0.8868,0.9984,0.4513,0.3113,0.8066,2018,"AL"
"36048",0.7956,0.6619,0.9245,0.8129,0.9104,2018,"AL"
"36049",0.4057,0.9355,0.7783,0.7217,0.783,2018,"AL"
"36051",0.3538,0.2437,0.2107,0.2767,0.2044,2018,"AL"
"36052",0.0094,0.1368,0.2311,0.0676,0.0204,2018,"AL"
"36053",0.9513,0.7925,0.9843,0.3035,0.8679,2018,"AL"
"36054",0.1997,0.5409,0.8192,0.4057,0.4198,2018,"AL"
"36064",0.0252,0.1824,0.7814,0.0928,0.0786,2018,"AL"
"36066",0.1101,0.511,0.7484,0.6494,0.434,2018,"AL"
"36067",0.3553,0.6871,0.7736,0.8145,0.7217,2018,"AL"
"36069",0.4182,0.5377,0.3019,0.1509,0.2516,2018,"AL"
"36071",0.9371,0.4198,0.283,0.1981,0.5252,2018,"AL"
"36075",0.7579,0.3318,0.4686,0.5881,0.6336,2018,"AL"
"36078",0.5849,0.8223,0.5818,0.8459,0.8145,2018,"AL"
"36079",0.3695,0.2799,0.2987,0.7107,0.4654,2018,"AL"
"36080",0.0362,0.3774,0.1069,0.1698,0.0456,2018,"AL"
"36081",0.8726,0.2154,0.9497,0.9544,0.9198,2018,"AL"
"36082",0.3066,0.011,0.9623,0.1132,0.0943,2018,"AL"
"36083",0.7091,0.8381,0.5613,0.9072,0.8726,2018,"AL"
"36088",0.9214,0.0676,0.5912,0.9355,0.8113,2018,"AL"
"36089",0.9277,0.423,0.5126,0.9434,0.8962,2018,"AL"
"36091",0.2893,0.3145,0.1038,0.6006,0.2846,2018,"AL"
"36092",0.3931,0.5676,0.7453,0.8428,0.7138,2018,"AL"
"36093",0.033,0.3742,0.206,0.0597,0.0314,2018,"AL"
"36104",0.9607,0.5047,0.8019,0.9796,0.9686,2018,"AL"
